short_name,bet_edge_ratio,bet_edge_ratio_raw,avg_pair_count,med_pair_count,bet_edge_ratio_median,bet_edge_ratio_std,bet_edge_ratio_min,bet_edge_ratio_max,rank
M5-R6,0.105820105820104,0.0013227513227513,2.0,2.0,0.105820105820104,,0.105820105820104,0.105820105820104,0.6835443037974683
M6-D1,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.25
M6-D13,0.1950945437601209,0.007779037952441851,12.333333333333334,14.0,0.11948118753674289,0.1843574253359049,0.0135327635327633,0.4772727272727269,0.7151898734177216
M6-D14,0.11965811965811761,0.0014245014245014,2.0,2.0,0.11965811965811761,0.16922213566857258,0.0,0.23931623931623522,0.7278481012658228
M6-D2,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.25
M6-D3,0.0,0.0,5.333333333333333,4.0,0.0,0.0,0.0,0.0,0.25
M6-D5,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.25
M6-D6,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.25
M6-R1,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.25
M6-R2,0.15493148826482148,0.001865418532085197,11.333333333333334,10.0,0.10582010582010562,0.18445756562008048,0.0,0.35897435897435875,0.7025316455696202
M6-R3,0.01249999999999995,0.0010416666666666625,4.5,5.0,0.0,0.0249999999999999,0.0,0.0499999999999998,0.25
M6-R4,0.07071405960294837,0.0016947044724822478,8.333333333333334,4.0,0.0333333333333333,0.09080933868113153,0.0,0.21652421652421627,0.5443037974683544
M6-R7,0.022797368753250863,0.000931512945313026,7.0,8.0,0.0241147741147737,0.01568358423802322,0.0,0.0457516339869281,0.5189873417721519
M6-R8,0.2393162393162373,0.002849002849002825,4.0,4.0,0.2393162393162373,,0.2393162393162373,0.2393162393162373,0.7848101265822784
M7-D1,0.1296296296296295,0.00925925925925925,2.0,2.0,0.0,0.22452510468485423,0.0,0.3888888888888885,0.25
M7-D13,1.375661375661374,0.017195767195767174,3.0,3.0,1.375661375661374,1.9454789746931445,0.0,2.751322751322748,0.9493670886075949
M7-D14,0.06818181818181805,0.001482213438735175,2.0,2.0,0.06818181818181805,0.09642365197998357,0.0,0.1363636363636361,0.629746835443038
M7-D2,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.25
M7-D6,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.25
M7-R1,0.6564854898188224,0.01394552843828205,2.0,2.0,0.105820105820104,1.0467613853299058,0.0,1.863636363636363,0.6835443037974683
M7-R2,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.25
M7-R4,0.9609053497942378,0.01954732510288064,4.0,4.0,0.9382716049382708,0.5836625673986905,0.3888888888888885,1.555555555555554,0.930379746835443
M9-D1,0.07054673721340333,0.0008818342151675416,4.0,4.0,0.07054673721340333,0.09976815254836573,0.0,0.14109347442680667,0.6392405063291139
M9-D10,0.14957264957264702,0.00178062678062675,2.0,2.0,0.14957264957264702,,0.14957264957264702,0.14957264957264702,0.7468354430379747
M9-D13,0.14345706943746125,0.009519137664562494,5.0,4.0,0.0723646723646715,0.1694514769193287,0.0,0.3660130718954248,0.6455696202531646
M9-D14,0.07148407148407078,0.001186263414524275,2.0,2.0,0.06818181818181805,0.08271865754620068,0.0,0.14957264957264702,0.629746835443038
M9-D2,0.0241733575066904,0.00044808921620515,4.666666666666667,4.0,0.0270655270655266,0.022864872822467425,0.0,0.0454545454545446,0.5284810126582279
M9-D3,0.0,0.0,2.6666666666666665,2.0,0.0,0.0,0.0,0.0,0.25
M9-D5,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.25
M9-D6,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.25
M9-D9,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.25
M9-R1,0.0464230540701128,0.00207981348006923,2.4,2.0,0.0457516339869281,0.05570626892191917,0.0,0.1363636363636361,0.5791139240506329
M9-R2,0.462081128747795,0.0057404015737349025,7.0,7.0,0.518518518518518,0.35628235907072425,0.0,0.811287477954144,0.8734177215189873
M9-R3,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.25
M9-R4,0.16363636363636355,0.003557312252964425,3.2,4.0,0.0,0.3659020326817836,0.0,0.8181818181818178,0.25
M9-R6,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.25
M9-R7,0.0,0.0,2.5,2.0,0.0,0.0,0.0,0.0,0.25
M9-R8,0.0270655270655266,0.00035612535612535,3.0,3.0,0.0270655270655266,0.03827643544884379,0.0,0.0541310541310532,0.5284810126582279
R2-D9,1.407407407407406,0.0185185185185185,4.0,4.0,1.407407407407406,,1.407407407407406,1.407407407407406,0.9556962025316456
R4-D9,2.539682539682536,0.0317460317460317,2.0,2.0,2.539682539682536,,2.539682539682536,2.539682539682536,0.9936708860759493
