citingPaper,citedPaper
https://openalex.org/W4280580662,https://openalex.org/W1577807578
https://openalex.org/W1985674062,https://openalex.org/W1577807578
https://openalex.org/W2107393980,https://openalex.org/W1577807578
https://openalex.org/W2171543589,https://openalex.org/W1577807578
https://openalex.org/W2182279624,https://openalex.org/W1577807578
https://openalex.org/W2261420935,https://openalex.org/W1577807578
https://openalex.org/W2288802977,https://openalex.org/W1577807578
https://openalex.org/W2310208630,https://openalex.org/W1577807578
https://openalex.org/W2933369931,https://openalex.org/W1577807578
https://openalex.org/W3022704615,https://openalex.org/W1577807578
https://openalex.org/W4220692802,https://openalex.org/W1577807578
https://openalex.org/W4362611983,https://openalex.org/W1577807578
https://openalex.org/W4381736130,https://openalex.org/W1577807578
https://openalex.org/W4401067024,https://openalex.org/W1577807578
https://openalex.org/W4403660177,https://openalex.org/W1577807578
https://openalex.org/W3189747191,https://openalex.org/W1578919155
https://openalex.org/W2470832101,https://openalex.org/W1580804840
https://openalex.org/W2569989626,https://openalex.org/W1580804840
https://openalex.org/W2587329652,https://openalex.org/W1580804840
https://openalex.org/W2716435981,https://openalex.org/W1580804840
https://openalex.org/W2883024550,https://openalex.org/W1580804840
https://openalex.org/W2895165109,https://openalex.org/W1580804840
https://openalex.org/W2897475839,https://openalex.org/W1580804840
https://openalex.org/W2914094440,https://openalex.org/W1580804840
https://openalex.org/W2943421593,https://openalex.org/W1580804840
https://openalex.org/W3001385022,https://openalex.org/W1580804840
https://openalex.org/W3007051557,https://openalex.org/W1580804840
https://openalex.org/W3022704615,https://openalex.org/W1580804840
https://openalex.org/W3025676006,https://openalex.org/W1580804840
https://openalex.org/W3033501614,https://openalex.org/W1580804840
https://openalex.org/W3037216812,https://openalex.org/W1580804840
https://openalex.org/W3145594932,https://openalex.org/W1580804840
https://openalex.org/W3170592684,https://openalex.org/W1580804840
https://openalex.org/W3202153609,https://openalex.org/W1580804840
https://openalex.org/W3214804213,https://openalex.org/W1580804840
https://openalex.org/W4238048379,https://openalex.org/W1580804840
https://openalex.org/W4281690951,https://openalex.org/W1580804840
https://openalex.org/W4307711555,https://openalex.org/W1580804840
https://openalex.org/W4399529338,https://openalex.org/W1580804840
https://openalex.org/W4402986304,https://openalex.org/W1580804840
https://openalex.org/W2208317766,https://openalex.org/W1648451562
https://openalex.org/W2921143263,https://openalex.org/W1648451562
https://openalex.org/W2967279307,https://openalex.org/W1648451562
https://openalex.org/W4307723330,https://openalex.org/W1648451562
https://openalex.org/W4385782198,https://openalex.org/W1648451562
https://openalex.org/W2208317766,https://openalex.org/W167868874
https://openalex.org/W2967279307,https://openalex.org/W167868874
https://openalex.org/W1947133949,https://openalex.org/W1748686498
https://openalex.org/W2921143263,https://openalex.org/W1748686498
https://openalex.org/W3120292600,https://openalex.org/W1748686498
https://openalex.org/W3202616165,https://openalex.org/W1748686498
