citing_year,cited_year,p1.cluster,p2.cluster,citation_count
2007,1979,2,0,2
2007,1999,2,2,2
2016,1995,3,0,1
2016,2013,3,4,1
2016,2011,2,5,4
2016,1998,2,1,1
2015,2006,3,5,1
2015,1992,3,3,1
2015,2011,3,3,1
2015,2000,3,5,1
2015,2013,3,2,1
2015,2011,3,5,1
2015,1999,3,2,1
2016,2014,3,2,1
2016,2011,3,2,1
2018,1979,7,6,1
2018,2014,7,2,1
2018,1979,7,0,2
2018,2006,7,2,1
2018,2014,7,7,3
2018,2013,7,4,1
2018,2012,7,3,1
2016,2013,2,0,2
2016,2014,2,3,1
2016,1999,2,2,2
2016,2014,2,5,1
2018,2014,6,7,8
2018,2013,6,2,4
2016,2012,0,4,1
2017,2014,2,2,3
2017,2010,2,2,1
2017,2007,2,2,4
2017,2012,2,2,3
2017,2013,2,5,1
2017,2002,6,2,2
2017,2013,6,2,2
2017,2014,1,6,1
2017,1992,3,3,1
2017,2003,3,2,1
2017,2014,3,2,1
2017,2002,3,2,1
2017,2005,3,2,1
2017,2014,3,7,3
2017,2011,3,5,1
2017,2014,3,5,1
2017,2009,3,2,1
2016,2017,2,4,1
2016,2016,2,1,1
2016,2016,2,4,1
2016,1998,2,2,2
2017,2014,0,3,1
2017,2016,0,1,1
1981,1979,0,6,1
2017,2006,2,2,1
2017,2011,2,6,1
2017,2015,2,6,2
2017,2016,2,2,2
2017,2016,2,1,1
2017,2013,7,2,1
2013,1980,2,2,1
2013,2000,2,5,1
2013,2009,2,1,1
2017,2014,4,2,1
2018,1980,2,2,1
2018,2006,2,2,1
2018,2005,2,2,10
2018,2016,2,2,3
2018,2015,2,2,3
2018,1992,2,3,1
2018,2014,2,3,1
2018,2002,2,2,7
2018,2014,2,7,13
2018,2013,2,2,11
2018,2011,2,2,5
2017,2018,2,7,1
2017,1999,2,2,1
2017,2016,2,7,1
2017,1990,2,2,1
2017,1979,2,0,1
2017,2006,6,5,1
2017,2016,6,2,1
2017,2013,6,4,1
2017,2013,6,0,1
2017,1979,6,0,1
2017,2005,6,2,1
2017,2012,6,2,1
2017,2011,6,2,1
2016,2004,2,2,1
2017,2014,3,3,1
2017,1979,3,0,1
2017,2013,3,4,1
2020,2017,6,4,2
2020,2006,6,5,3
2020,2016,6,1,1
2020,2005,6,2,3
2020,2011,6,3,1
2020,2014,6,2,1
2020,2002,6,2,2
2020,2014,6,7,4
2020,2015,6,2,1
2020,2011,6,5,1
2020,2015,6,3,1
2018,2005,6,2,4
2018,2014,6,2,1
2018,2011,6,2,1
2018,2011,6,5,1
2018,2015,6,2,1
2018,2007,2,3,1
2018,2016,2,3,1
2018,2018,2,7,1
2018,2018,2,2,2
2018,2014,6,3,1
2018,1979,2,0,4
2018,2011,0,2,1
2018,2014,0,7,2
2018,2014,2,2,5
2018,2009,2,2,5
2018,1999,2,2,2
2018,2017,6,4,1
2018,2009,6,2,1
2018,2011,6,6,1
